"Active From <custom_design_from> (admin)";"Active To <custom_design_to> (admin)";"Apply To Products <custom_apply_to_products> (admin)";"Available Product Listing Sort By <available_sort_by> (admin)";"CMS Block <landing_page> (admin)";"Custom Design <custom_design> (admin)";"Custom Layout Update <custom_layout_update> (admin)";"Default Product Listing Sort By <default_sort_by> (admin)";"Description <description> (admin)";"Display Mode <display_mode> (admin)";"ID <entity_id>";"Image <image> (admin)";"Include in Navigation Menu <include_in_menu> (admin)";"Is Active <is_active> (admin)";"Is Anchor <is_anchor> (admin)";"Layered Navigation Price Step <filter_price_range> (admin)";"Meta Description <meta_description> (admin)";"Meta Keywords <meta_keywords> (admin)";"Name <name> (admin)";"Page Layout <page_layout> (admin)";"Page Title <meta_title> (admin)";"Path <path> (admin)";"Position <position>";"URL Key <url_key> (admin)";"Use Parent Category Settings <custom_use_parent_settings> (admin)"
"";"";"";"";"";"";"";"";"";"";"2";"";"1";"1";"";"";"";"";"Default Category";"";"";"";"1";"";""
"";"";"0";"";"";"";"";"";"";"PRODUCTS";"3";"";"1";"1";"0";"";"";"";"建设执业资格注册师执业印章";"two_columns_right";"";"Default Category";"1";"js";"0"
"";"";"0";"";"";"";"";"";"";"PRODUCTS";"4";"";"1";"1";"0";"";"";"";"企业出图章";"two_columns_right";"";"Default Category";"2";"qy";"0"
"";"";"0";"";"";"";"";"";"";"PRODUCTS";"5";"";"1";"1";"0";"";"";"";"私章";"two_columns_right";"";"Default Category";"3";"sz";"0"
